primary_type,community_area,count
CRIMINAL SEXUAL ASSAULT,28,135
CRIMINAL TRESPASS,28,10068
DECEPTIVE PRACTICE,28,11377
GAMBLING,28,221
HOMICIDE,28,222
HUMAN TRAFFICKING,28,7
INTERFERENCE WITH PUBLIC OFFICER,28,292
INTIMIDATION,28,142
KIDNAPPING,28,69
LIQUOR LAW VIOLATION,28,279
MOTOR VEHICLE THEFT,28,10057
NARCOTICS,28,12817
NON - CRIMINAL,28,1
NON-CRIMINAL,28,8
OBSCENITY,28,24
OFFENSE INVOLVING CHILDREN,28,1011
OTHER NARCOTIC VIOLATION,28,4
OTHER OFFENSE,28,10277
PROSTITUTION,28,1861
PUBLIC INDECENCY,28,5
PUBLIC PEACE VIOLATION,28,1320
ROBBERY,28,7165
SEX OFFENSE,28,697
STALKING,28,125
THEFT,28,67401
WEAPONS VIOLATION,28,1250
ARSON,29,376
ASSAULT,29,13159
BATTERY,29,44081
BURGLARY,29,7553
CONCEALED CARRY LICENSE VIOLATION,29,45
CRIM SEXUAL ASSAULT,29,753
CRIMINAL DAMAGE,29,19079
CRIMINAL SEXUAL ASSAULT,29,134
CRIMINAL TRESPASS,29,3985
DECEPTIVE PRACTICE,29,4400
GAMBLING,29,1033
HOMICIDE,29,477
HUMAN TRAFFICKING,29,3
INTERFERENCE WITH PUBLIC OFFICER,29,641
INTIMIDATION,29,77
KIDNAPPING,29,107
LIQUOR LAW VIOLATION,29,230
MOTOR VEHICLE THEFT,29,7455
NARCOTICS,29,44494
NON - CRIMINAL,29,2
NON-CRIMINAL,29,4
OBSCENITY,29,18
OFFENSE INVOLVING CHILDREN,29,1289
OTHER OFFENSE,29,10943
PROSTITUTION,29,1466
PUBLIC INDECENCY,29,2
PUBLIC PEACE VIOLATION,29,1361
ROBBERY,29,8290
SEX OFFENSE,29,611
STALKING,29,96
THEFT,29,24804
WEAPONS VIOLATION,29,4021
ARSON,3,85
ASSAULT,3,6388
BATTERY,3,17161
BURGLARY,3,3881
CONCEALED CARRY LICENSE VIOLATION,3,5
CRIM SEXUAL ASSAULT,3,479
CRIMINAL DAMAGE,3,9274
CRIMINAL SEXUAL ASSAULT,3,89
CRIMINAL TRESPASS,3,3866
DECEPTIVE PRACTICE,3,6780
GAMBLING,3,96
HOMICIDE,3,93
INTERFERENCE WITH PUBLIC OFFICER,3,179
INTIMIDATION,3,49
KIDNAPPING,3,49
LIQUOR LAW VIOLATION,3,239
